Family (as listed by USDA),Family as per Robinson et al. 2002,Genus,common name,herbaceous or woody,origin (for analysis),origin,species counts (Mid-Atlantic numbers unless otherwise indicated),total Lep spp,exotic Lep spp,Native Lep spp
Crassulaceae ,Crassulaceae ,Sempervivum,common houseleek,h,alien,alien,1 alien,1,0,1
Asteraceae,Compositae ,Senecio,"butterweed, ragwort",h,native,both,"1 native, 6 aliens perhaps others if cultivated",18,1,17
Fabaceae,Leguminosae(C),Senna,senna,h,native,both,"3 natives, 1 alien perhaps others if cultivated",9,1,8
Asteraceae,Compositae ,Sericocarpus,whitetop aster,h,native,native,2 natives,1,0,1
Asteraceae,,Serratula,plumeless saw-wort,h,alien,alien,1 alien,0,0,0
Pedaliaceae,Pedaliaceae,Sesamum,"sesame, sesamum",h,alien,alien,1 alien perhaps others if cultivated,1,0,1
Fabaceae,Leguminosae(P),Sesbania,"danglepod, rattlebox, bladderpod",h,native,both,"1 native, 1 alien perhaps others if cultivated",6,1,5
Apiaceae,,Seseli,mooncarrot,h,alien,alien,1 alien,0,0,0
Aizoaceae,,Sesuvium,seapurslane,h,native,native,2 natives,0,0,0
Poaceae,Gramineae,Setaria,coral bristlegrass,h,alien,alien,3 aliens perhaps others if cultivated (Natives southern),10,0,10
Scrophulariaceae,Scrophulariaceae,Seymeria,blacksenna,h,native,native,1 native (VA&south),2,0,2
Eleagnaceae,Eleagnaceae,Shepherdia,buffaloberry,w,native,native,2 natives,22,0,22
Rubiaceae,,Sherardia,sherardia,h,alien,alien,1 alien,0,0,0
Diapensiaceae,,Shortia,Oconee bells,h,native,native,1 native,0,0,0
Brassicaceae,,Sibara,winged rockcress,h,native,native,1 native,0,0,0
Rosaceae,,Sibbaldiopsis,fivefingers,h,native,native,1 native,0,0,0
Cucurbitaceae ,,Sicyos,burr cucumber,h,native,native,1 native,0,0,0
Malvaceae ,Malvaceae ,Sida,"fanpetals, Cuban jute",h,native,native,2 natives,8,0,8
Malvaceae ,Malvaceae ,Sidalcea,checkerbloom,h,native,native,1 native (NY) other natives western,3,0,3
Lamiaceae,,Sideritis,ironwort,h,alien,alien,1 alien,0,0,0
Sapotaceae,Sapotaceae,Sideroxylon,"bully, bumelia",w,native,native,1 native (MD&south),4,0,4
Caryophyllaceae ,Caryophyllaceae ,Silene,"catchfly, moss champion",h,native,both,"7 natives, 11 aliens perhaps others if cultivated",4,0,4
Asteraceae,Compositae ,Silphium,rosinweed,h,native,native,6 natives,4,0,4
Asteraceae,Compositae ,Silybum,milkthistle,h,alien,alien,1 alien perhaps another if cultivated,1,0,1
Brassicaceae,Cruciferae ,Sinapis,mustard,h,alien,alien,2 aliens,6,2,4
Brassicaceae,Cruciferae ,Sisymbrium,"hedgemuster, tumblemustard",h,alien,alien,5 aliens,5,0,5
Iridaceae ,,Sisyrinchium,blue-eyed grass,h,native,native,9 natives,0,0,0
Apiaceae,Umbelliferae ,Sium,water parsnip,h,native,native unless cultivated,"2 natives, perhaps 2 aliens if cultivated",4,0,4
Asteraceae,Compositae ,Smallanthus,hairy leafcup,h,native,native,1 native,1,0,1
Smilacaceae,Smilacaceae,Smilax,greenbriar,w,native,native unless cultivated,"11 natives, perhaps aliens if cultivated",19,2,17
Solanaceae ,Solanaceae ,Solanum,"horsenettle, nightshade, potato, tomato, eggplant, aubergines",h,native,both,"3 natives, 10 aliens, others if cultivated",61,8,53
Asteraceae,Compositae ,Solidago,goldenrod,h,native,native,36 natives,115,3,112
Asteraceae,,Soliva,burrweed,h,alien,alien,1 alien,0,0,0
Asteraceae,Compositae ,Sonchus,sowthistle,h,alien,alien,"4 aliens, perhaps another if cultivated",4,0,4
Fabaceae,Leguminosae(P),Sophora,necklacepod,w,alien,alien,aliens can perhaps cultivated in our area (but some in this genus transferred to Styphnolobium) (natives in west),2,1,1
Rosaceae ,Rosaceae ,Sorbaria,false spiraea,w,alien,alien,1 alien perhaps another if cultivated,2,0,2
Rosaceae ,Rosaceae ,Sorbus,mountain ash,w,native,both,"2 natives, 1 alien, other cultivated",68,6,62
Poaceae,Gramineae,Sorghastrum,"slender indiangrass, indiangrass",h,native,native,2 natives,9,0,9
Poaceae,Gramineae,Sorghum,"johnsongrass, Sorghum",h,alien,alien,"2-3 aliens, invasive genera",20,2,18
Sparganiaceae,Typhaceae,Sparganium,bur reed,h,native,both,"6 natives,1 alien",3,0,3
Poaceae,Gramineae,Spartina,cordgrass,h,native,native,6 natives,13,0,13
Caryophyllaceae,,Spergula,spurry,h,alien,alien,3 aliens,0,0,0
Caryophyllaceae,,Spergularia,sandspurry,h,native,native,2 natives,0,0,0
Rubiaceae,Rubiaceae,Spermacoce,false buttonweed,h,native,native unless cultivated,"1 native, perhaps aliens if cultivated",1,0,1
Apiaceae,Umbelliferae ,Spermolepis,scaleseed,h,native,native,2 natives,2,0,2
Malvaceae ,Malvaceae ,Sphaeralcea,globemallow,h,native,both,"1 native(MD), 1 alien(NJ); Many natives in west",2,0,2
Poaceae,,Sphenopholis,wedgescale,h,native,native,6 natives,0,0,0
Loganiaceae,,Spigelia,pinkroot,h,native,native,1 native,0,0,0
Chenopodiaceae ,Chenopodiaceae ,Spinacia,spinach,h,alien,alien,1 alien,17,1,16
Rosaceae ,Rosaceae ,Spiraea,"meadowsweet, spirea",w,native,both,"5 natives, 8 aliens perhaps others if cultivated",89,3,86
Orchidaceae,,Spiranthes,lady's tresses,h,native,native,13 natives,0,0,0
Lemnaceae ,,Spirodela,duckmeat,h,native,native,1 native aquatic,0,0,0
Poaceae,,Sporobolus,dropseed,h,native,native,12 natives,0,0,0
Labiatae,Labiatae,Stachys,"hedgenettle, lamb's ear",h,native,both,"10 natives, 7 aliens",13,2,11
Staphyleaceae,Staphyleaceae,Staphylea,bladdernut,w,native,native,1 native,2,0,2
Poaceae,,Steinchisma,gaping grass,h,native,native,1 native,0,0,0
Caryophyllaceae ,Caryophyllaceae ,Stellaria,"chickweed, starwort",h,native,both,"7 natives, 3 aliens perhap another if cultivated",16,1,15
Rubiaceae,,Stenaria,diamond flowers,h,native,native,1 native,0,0,0
Poaceae,Gramineae,Stenotaphrum,St. Augustinegrass,h,native,native unless cultivated,"1 native, perhaps 1 alien if cultivated",9,0,9
Rosaceae ,,Stephanandra,laceshrub,w,alien,alien,1 alien,0,0,0
Asteraceae,,Stephanomeria,wirelettuce,h,native,native,1 native,0,0,0
Liliaceae,,Sternbergia,winter daffodil,h,alien,alien,1 alien,0,0,0
Theaceae,Theaceae,Stewartia,"mountain camellia, silky camellia",w,native,native,2 natives (VA&south),1,0,1
Euphorbiaceae ,Euphorbiaceae ,Stillingia,"toothleaf, queen's delight",h,native,native,1 native,1,0,1
Caryophyllaceae,,Stipulicida,scalypink,h,native,native,1 native,0,0,0
Liliaceae,,Streptopus,twistedstalk,h,native,native,3 natives,0,0,0
Fabaceae,Leguminosae(P),Strophostyles,fuzzybean,h,native,native,3 natives,3,0,3
Pontamogetonaceae,,Stuckenia,pondweed,h,native,native,2 natives aquatic,0,0,0
Convolvulaceae ,Convolvulaceae ,Stylisma,dawnflower,h,native,native,2 natives,1,0,1
Verbenaceae,,Stylodon,false vervain,h,native,native,1 native,0,0,0
Papaveraceae,,Stylophorum,celadine poppy,h,native,native,1 native,0,0,0
Fabaceae,Leguminosae(P),Stylosanthes,pencilflower,h,native,native unless cultivated,1 native perhaps aliens if cultivated,2,0,2
Fabaceae,,Styphnolobium,pagoda tree,w,alien,alien,1 alien (a native occurs in TX),0,0,0
Styracaceae,Styracaceae,Styrax,snowbell,h,native,both,"2 natives, 1 alien perhaps others if cultivated",1,0,1
Chenopodiaceae,,Suaeda,seepweed,h,native,native,3 natives,0,0,0
Brassicaceae,,Subularia,awlwort,h,native,native,1 native aquatic,0,0,0
Dipsacaceae,,Succisa,succisa,h,alien,alien,1 alien,0,0,0
Dipsacaceae,,Succisella,succisella,h,alien,alien,1 alien,0,0,0
Saxifragaceae,,Sullivantia,coolwort,h,native,native,1 native,0,0,0
Caprifoliaceae ,Caprifoliaceae ,Symphoricarpos,"snowberry, buckbush",w,native,native unless cultivated,"3 natives, 1 alien if cultivated",25,1,24
Boraginaceae,Boraginaceae,Symphytum,comfrey,h,alien,alien,4 aliens,4,1,3
Araceae,Araceae,Symplocarpus,skunk cabbage,h,native,native,1 native,3,1,2
Symplocaceae,,Symplocos,"horse sugar, sweetleaf, sapphireberry",w,native,both,"1 native, 1 alien",3,0,3
Lamiaceae,,Synandra,Guyandotte beauty,h,native,native,1 native,0,0,0
Oleaceae,Oleaceae,Syringa,lilac,w,alien,alien,3 aliens perhaps others if cultivated,40,5,35
Poaceae,,Taeniatherum,medusahead,h,alien,alien,1 alien,0,0,0
Apiaceae,Umbelliferae ,Taenidia,pimpernel,h,native,native,2 natives,3,0,3
Asteraceae,Compositae ,Tagetes,marigold,h,alien,alien,"4 aliens, perhaps others if cultivated (natives in southwest)",4,1,3
Tamaricaceae,Tamaricaceae,Tamarix,tamarisk,w,alien,alien,"3 aliens, perhaps more if cultivated",3,0,3
Asteraceae,,Tanacetum,tansy,h,alien,alien,4 aliens,0,0,0
Asteraceae,Compositae ,Taraxacum,dandelion,h,alien,alien,4 aliens (natives not in our area),87,1,86
Cupressaceae   ,Taxodiaceae,Taxodium,"cypress, bald cypress, pond cypress",w,native,native,2 natives,16,1,15
Taxaceae,Taxaceae,Taxus,yew,w,native,both,"1 native, 2 aliens",8,3,5
Brassicaceae,,Teesdalia,shepardscress,h,alien,alien,1 alien,0,0,0
Fabaceae,Leguminosae(P),Tephrosia,hoarypea,h,native,native unless cultivated,"2 natives, perhaps aliens if cultivated",7,1,6
Rutaceae ,,Tetradium,bee bee tree,w,alien,alien,1 alien,0,0,0
Aizoaceae,,Tetragonia,New Zealand spinach,h,alien,alien,1 alien,0,0,0
Asteraceae,,Tetragonotheca,nerveray,h,native,native,1 native,0,0,0
Lamiaceae,Labiatae,Teucrium,germander,h,native,both,"1 native, 2 aliens perhaps others if cultivated",1,1,0
Ranunculaceae,Ranunculaceae,Thalictrum,meadow rue,h,native,both,"9 natives, 1 alien perhaps others if cultivated",13,0,13
Poaceae,Gramineae,Thamnocalamus,giant panda fodder bamboo,w,alien,alien,atleast 1 alien,1,0,1
Apiaceae,Umbelliferae ,Thaspium,meadowparsnip,h,native,native,2 natives,1,0,1
Thelypteridaceae,Thelypteridaceae,Thelypteris,"maiden fern, New York fern",h,native,both,"3 natives, perhaps aliens if cultivated",5,0,5
Poaceae,,Themeda,kangaroo grass,h,alien,alien,1 alien,0,0,0
Fabaceae,Leguminosae(P),Thermopsis,goldenbanner,h,native,native,2 natives,5,0,5
Poaceae,,Thinopyrum,wheatgrass,h,alien,alien,2 aliens,0,0,0
Cucurbitaceae ,,Thladiantha,Manchu tubergourd,h,alien,alien,1 alien,0,0,0
Brassicaceae,Cruciferae ,Thlaspi,penny cress,h,alien,alien,2 aliens,2,0,2
Cupressaceae,Cupressaceae,Thuja,"western red cedar, arborvitae",w,native,native,1 native,50,2,48
Lamiaceae,Labiatae,Thymus,thyme,h,alien,alien,3 aliens perhaps more if cultivated,2,1,1
Saxifragaceae,,Tiarella,foamflower,h,native,native,1 native,0,0,0
Amaranthaceae,,Tidestromia,honeysweet,h,native,native,1 native,0,0,0
Tiliaceae ,Tiliaceae ,Tilia,"basswood, linden",w,native,both,"1 native, 1 alien perhaps others if cultivated",149,7,142
Bromeliaceae,,Tillandsia,spanish moss,h,native,native,1 native,0,0,0
Orchidaceae,,Tipularia,crippled cranefly,h,native,native,1 native,0,0,0
Meliaceae,,Toona,Australian redcedar,w,alien,alien,1 alien,0,0,0
Apiaceae,,Torilis,hedgeparsley,h,alien,alien,1 alien,0,0,0
Poaceae,,Torreyochloa,False mannagrass,h,native,native,1 native,0,0,0
Anacardiaceae ,Anacardiaceae ,Toxicodendron,"poison oak, poison sumac, posion ivy",w,native,native unless cultivated,"4 natives, perhaps aliens if cultivated",15,2,13
Apocynaceae,,Trachelospermum,climbing dogbane,h,native,native,1 native,0,0,0
Commelinaceae,Commelinaceae,Tradescantia,spiderwort,h,native,both,"4 natives, (aliens closeby)",4,0,4
Euphorbiaceae ,,Tragia,noseburn,h,native,native,2 natives,0,0,0
Asteraceae,Compositae ,Tragopogon,"salsify, goatsbeard",h,alien,alien,4 aliens (1 native in west),5,0,5
Poaceae,,Tragus,burr grass,h,alien,alien,1 alien,0,0,0
Trapaceae,,Trapa,water chestnut,h,alien,alien,1 alien aquatic,0,0,0
Ranunculaceae,,Trautvetteria,bugbane,h,native,native,1 native,0,0,0
Clusiaceae,Guttiferae,Triadenum,marsh St. Johnswort,h,native,native,4 natives,4,0,4
Liliaceae,,Triantha,asphodel,h,native,native,2 natives,0,0,0
Aizoaceae,,Trianthema,horsepurslane,h,native,native,1 native,0,0,0
Zygophyllaceae,,Tribulus,puncturevine,h,alien,alien,1 alien,0,0,0
Poaceae,,Trichloris,watermeal,h,native,native,1 native,0,0,0
Hymenophyllaceae,,Trichomanes,bristlefern,h,native,native,2 natives,0,0,0
Cyperaceae,Cyperaceae,Trichophorum,bulrush,h,native,native,4 natives,0,0,0
Lamiaceae,Labiatae,Trichostema,"fluxweed, bluecurls",h,native,native,4 natives,2,0,2
Liliaceae,,Tricyrtis,toadlily,h,alien,alien,1 alien,0,0,0
Poaceae,Gramineae,Tridens,"tall redtop, purple-top",h,native,native unless cultivated,"2 natives, perhaps 1 alien if cultivated",6,0,6
Primulaceae,,Trientalis,starflower,h,native,native,1 native,0,0,0
Fabaceae,Leguminosae(P),Trifolium,clover,h,native,both,"2 native, 12 aliens, other cultivated",122,7,115
Juncaginaceae,,Triglochin,arrowgrass,h,native,native,3 natives,0,0,0
Fabaceae,,Trigonella,fenugreek,h,alien,alien,2 aliens,0,0,0
Liliaceae,Trilliaceae,Trillium,"toadshade, trillium, wakerobin",h,native,native,11 natives,3,0,3
Campanulaceae,,Triodanis,Venus'looking-glass,h,native,native,2 natives,0,0,0
Caprifoliaceae ,Caprifoliaceae ,Triosteum,"horse-gentian, feverwort",h,native,native,3 natives,3,0,3
Orchidaceae,,Triphora,noddingcaps,h,native,native,1 native,0,0,0
Poaceae,,Triplasis,sandgrass,h,native,native,1 native,0,0,0
Asteraceae,,Tripleurospermum,false mayweed,h,native,native,1 native,0,0,0
Asteraceae,,Tripolium,sea aster,h,alien,alien,1 alien,0,0,0
Poaceae,Gramineae,Tripsacum,gamagrass,h,native,native unless cultivated,"1 native, perhaps an alien if cultivated",3,0,3
Poaceae,,Trisetum,oatgrass,h,native,native,2 natives,0,0,0
Liliaceae,,Tristagma,springstar,h,alien,alien,1 alien,0,0,0
Poaceae,Gramineae,Triticum,wheat,h,alien,alien,1 alien perhaps others if cultivated,36,3,33
Ranunculaceae,,Trollius,globeflower,h,native,native,1 native,0,0,0
Tropaeolaceae,Tropaeolaceae,Tropaeolum,nasturtium,h,alien,alien,1 alien others if cultivated,8,2,6
Pinaceae,Pinaceae,Tsuga,hemock,w,native,native,2 natives (1 VA & south),92,3,89
Liliaceae,,Tulipa,tulip,h,alien,alien,1 alien,0,0,0
Apiaceae,,Turgenia,False carrot,h,alien,alien,1 alien,0,0,0
Turneraceae,,Turnera,"damiana, yellow alder",w,alien,alien,Cultivated (when grown as an annual); perhaps 2 aliens (natives in FL&TX),2,0,2
Asteraceae,,Tussilago,coltsfoot,h,alien,alien,1 alien,0,0,0
Typhaceae,Typhaceae,Typha,cattail,h,native,both,"3 natives, 1 alien",18,1,17
Fabaceae,,Ulex,gorse,h,alien,alien,1 alien,0,0,0
Ulmaceae,Ulmaceae,Ulmus,elm,w,native,both,"4 natives, 4 aliens, others if cultivated",215,9,206
Poaceae,,Uniola,seaoats,h,native,native,1 native,0,0,0
Poaceae,Gramineae,Urochloa,tropical signalgrass,h,native,both,"3 natives, 2 aliens perhaps others if cultivated",3,0,3
Urticaceae,Urticaceae,Urtica,nettle,h,native,both,"2 natives, 3 aliens",35,3,32
Lentibulariaceae,,Utricularia,bladderwort,h,native,native,15 natives,0,0,0
Liliaceae,Convallariaceae ,Uvularia,bellwort,h,native,native,4 natives,1,0,1
Caryophyllaceae,,Vaccaria,soapwort,h,alien,alien,1 alien,0,0,0
Ericaceae ,Ericaceae ,Vaccinium,"cranberry, blueberry",w,native,native,21 natives,294,8,286
Poaceae,,Vahlodea,hairgrass,h,native,native,1 native,0,0,0
Valerianaceae,,Valeriana,valerian,h,native,both,"2 natives , 1 alien",1,0,1
Valerianaceae,Valerianaceae,Valerianella,cornsalad,h,native,both,"3 natives, 1 alien perhaps another if cultivated",2,0,2
Hydrocharitaceae,Hydrocharitaceae,Vallisneria,eelgrass,h,native,both,"1 native, 1 alien if cultivated (some say same species).",1,0,1
Poaceae,,Ventenata,Africa grass,h,alien,alien,1 alien,0,0,0
Liliaceae,Melanthiaceae,Veratrum,false hellebore,h,native,both,"4 natives, 1 alien when cultivated",5,0,5
Scrophulariaceae,Scrophulariaceae,Verbascum,mullein,h,alien,alien,9 aliens others if cultivated,7,0,7
Verbenaceae,Verbenaceae,Verbena,"verbena, vervain",h,native,both,"10 natives, 4 aliens",11,0,11
Asteraceae,Compositae ,Verbesina,"crownbeard, wing-stem",h,native,native,4 natives,16,0,16
Asteraceae,Compositae ,Vernonia,ironweed,h,native,native unless cultivated,"5 natives, perhaps aliens if cultivated",19,0,0
Scrophulariaceae,Scrophulariaceae,Veronica,speedwell,h,native,both,"6 natives, 15 aliens",7,1,6
Scrophulariaceae,Scrophulariaceae,Veronicastrum,Culver's root,h,native,native,1 native,1,0,1
Caprifoliaceae,Caprifoliaceae ,Viburnum,"arrowwood, viburnum, (Viburnum opulus=swamp elder), wild raisin",w,native,both,"12 natives, 6 aliens, others maybe cultivated",104,6,97
Fabaceae,Leguminosae(P),Vicia,vetch,h,native,both,"2 natives, 12 aliens perhaps others if cutivated",16,2,14
Fabaceae,Leguminosae(P),Vigna,"hairypod cowpea, cowpea",h,native,both,"1 native, 1 aliens perhaps others if cultivated",17,1,16
Apocynaceae,,Vinca,periwinkle,h,alien,alien,2 aliens,0,0,0
Asclepiadaceae,Asclepiadaceae,Vincetoxicum,swallow-wort,w,alien,alien,2 aliens; OR maybe see: Cynanchum (this is disputed),1,0,1
Violaceae,Violaceae,Viola,violet,h,native,both,"69 natives, 4 aliens, a few others if cultivated",30,3,27
Verbenaceae,Verbenaceae,Vitex,chastetree,w,alien,alien,1 alien perhaps others if cultivated,0,0,0
Vitaceae,Vitaceae,Vitis,grape,w,native,both,"8 natives, 1 alien perhaps others if cultivated",79,7,72
Vittariaceae,,Vittaria,shoestring fern,h,native,native,1 native,0,0,0
Poaceae,,Vulpia,fescue,h,native,native,2 natives,0,0,0
Rosaceae,,Waldsteinia,barren strawberry,h,native,native,1 native,0,0,0
Caprifoliaceae ,Caprifoliaceae ,Weigela,weigela,w,alien,alien,2 aliens perhaps another if culivated,2,0,2
Fabaceae,Leguminosae(P),Wisteria,wisteria,w,native,both,"1 natives, 2 alien",19,1,18
Lemnaceae ,,Wolffia,watermeal,h,native,native,3 native aquatics,0,0,0
Lemnaceae ,,Wolffiella,bogmat,h,native,native,1 native,0,0,0
Dryopteridaceae,,Woodsia,cliff fern,h,native,native,6 natives,0,0,0
Blechnaceae,Blechnaceae,Woodwardia,chainfern,h,native,native,2 natives,2,0,2
Asteraceae,Compositae ,Xanthium,cocklebur,h,native,both,"1 native, 1 alien perhaps another if cultivated",10,1,9
Ranunculaceae,,Xanthorhiza,yellowroot,h,native,native,1 native,0,0,0
Ranunculaceae,Ranunculaceae,Xanthorhiza,yellowroot,w,native,native,1 native,0,0,0
Liliaceae,,Xerophyllum,turkeybeard,h,native,native,1 native,0,0,0
Xyridaceae,,Xyris,yelloweyed,h,native,native,10 natives,0,0,0
Asteraceae,,Youngia,false hawksbeard,h,alien,alien,1 alien,0,0,0
Agavaceae,Agavaceae,Yucca,"yucca, adam's needle, spanish bayonet",h,native,native,2 natives,4,0,4
Zannichelliaceae,,Zannichellia,horned pondweed,h,native,native,1 native aquatic,0,0,0
Araceae,Araceae,Zantedeschia,calla lily,h,alien,alien,1 alien perhaps others if cultivated,2,0,2
Rutaceae ,Rutaceae ,Zanthoxylum,"pricklyash, Chinese pepper",w,native,native unless cultivated,"2 natives, 1 alien if cultivated",6,0,6
Poaceae,Gramineae,Zea,"corn,maize",h,alien,alien,"1 aliens, others cultivated",120,13,107
Ulmaceae,,Zelkova,zelkova,w,alien,alien,1 alien,0,0,0
Ericaceae,,Zenobia,honeycup,w,native,native,1 native,0,0,0
Liliaceae,,Zephyranthes,zephyrlily,h,native,native,1 native,0,0,0
Liliaceae,,Zigadenus,deathcamas,h,native,native,4 natives,0,0,0
Asteraceae,Compositae ,Zinnia,zinnia,h,alien,alien,1 alien,7,1,6
Poaceae,Gramineae,Zizania,wildrice,h,native,native,2 natives,5,0,5
Poaceae,Gramineae,Zizaniopsis,"giant cutgrass, southern wild rice",h,native,native,1 native,3,0,3
Apiaceae,Umbelliferae ,Zizia,"meadow alexanders, zizia",h,native,native,3 natives,4,0,4
Fabasceae,,Zornia,vipernia,h,native,native,1 native,0,0,0
Zosteraceae,,Zostera,eelgrass,h,native,native,1 native aquatic,0,0,0
Poaceae,Gramineae,Zoysia,"Korean lawngrass, ",h,alien,alien,1 alien perhaps others if cultivated,1,0,1
Zygophyllaceae,,Zygophyllum,beancaper,h,alien,alien,1 alien,0,0,0
,,,,,,,,,,
,,Achnatherum,,,see: Oryzopsis,see: Oryzopsis,,,,
,,Actinomeris,wingstem,,see:Verbesina,see:Verbesina,,,,
Cyperaceae,Cyperaceae,Bolboschoenus,bulrush,,"see: Schoenoplectus (Bolboschoenus is 5 natives, 1 alien)","see: Schoenoplectus (Bolboschoenus is 5 natives, 1 alien)",,,,
,Sapotaceae,Bumelia,,,see:Sideroxylon,see:Sideroxylon,,,,
Ranunculaceae,Ranunculaceae,Cimicifuga,"black cohosh, bugbane",,see Actaea; no longer valid name or not in USA,see Actaea; no longer valid name or not in USA,,,,
,,Dentaria,toothwort,,See:Cardamine,See:Cardamine,,,,
,Scrophulariaceae,Gerardia,,,"see; Agalinis, Aureolaria or Stenandrium ","see; Agalinis, Aureolaria or Stenandrium ",,,,
,Compositae ,Kuhnia,,,see: Brickellia,see: Brickellia,,,,
Solanaceae ,Solanaceae ,Lycopersicon,"garden tomato, peruvian nightshade",,see: Solanum,see: Solanum,,,,
,Leguminosae(P),Meibomia--,,,see: Desmodium ,see: Desmodium ,,,,
Myricaceae,Myricaceae,Morella,"red bayberry, wax myrtle, northern bayberry",,see: Myrica,see: Myrica,,,,
Aquifoliaceae,Aquifoliaceae,Nemopanthus,,,"see: Ilex; old name for Mountain Holly, Ilex mucronata; ","see: Ilex; old name for Mountain Holly, Ilex mucronata; ",,,,
,Ericaceae ,Oxycoccus,cranberry,,see: Vaccinium,see: Vaccinium,,,,
,,Packera,,,see: Senecio,see: Senecio,,,,
Apiaceae,Umbelliferae ,Sphondylium,?eltrot,,see: Heracleum ,see: Heracleum ,,,,
,Plumbaginaceae,Statice,sealavander,,see: Limonium,see: Limonium,,,,
Poaceae,Gramineae,Syntherisma,crabgrass,,see: Digitaria,see: Digitaria,,,,
Asteraceae,Compositae ,Thelechitonia,creeping-oxeye,,see: Sphagneticola ,see: Sphagneticola ,,,,
