,cleanedName,sciName,itis_id,rank,Suggested Name,Suggested ITIS ID,Problem
261,Buffalo nut,Pyrularia pubera,504705,species,,,
262,Mountain holly,Ilex montana,28002,species,,,
263,Cherry,NA,NA,species,Prunus,24762,lots of options but I believe just genus
264,Sycamore,Platanus,19019,species,,,
265,Calycanthus,Calycanthus,18139,species,,,
266,Mapleleaf viburnum,Viburnum acerifolium,35255,species,,,
267,Blueberry,Vaccinium,23571,species,,,
268,Podocarpus,Podocarpus,183488,species,,,
269,Florida forestiera,NA,NA,species,Forestiera segregata,32959,??? For sure Forestiera
270,California laurel,Umbellularia,18207,species,,,
271,Tanoak,Lithocarpus,19463,species,,,
272,Pacific madrone,Arbutus menziesii,23627,species,,,
273,California live oak,Quercus agrifolia,19289,species,,,
274,Lonicera hispidula var. vacillans,Lonicera hispidula var. vacillans,528895,species,,,
275,Common buttonbush,Cephalanthus occidentalis,34786,species,,,
276,Broadleaf hawthorn,NA,NA,species,Crataegus coccinioides,24550,not accepted name
277,Sweet crab apple,Malus coronaria,25257,species,,,
278,Winterberry,NA,NA,species,Euonymus bungeanus,894990,not accepted name
279,witch-hazel,Hamamelis virginiana,19033,species,,,
280,Rhus typhina,Rhus typhina,28777,species,,,
281,Mountain winterberry,Ilex montana,28002,species,,,
282,Black birch,NA,NA,species,Betula lenta,19487,a not often used common name? more commonly called sweet birch
283,Fanleaf hawthorn,Crataegus flabellata,24561,species,,,
284,Callery pear,Pyrus calleryana,504706,species,,,
285,Persimmon,Diospyros,23853,species,,,
286,Malus,Malus,25254,species,,,
287,Virginia sweetspire,Itea virginica,24202,species,,,
288,Common privet,NA,NA,species,Ligustrum vulgare,32980,not found in IT IS maybe less common name
289,Kwanzan cherry,NA,NA,species,Prunus,24762,"not found, seems to be a common name but no taxonomy"
290,Weeping willow,Salix babylonica,837788,species,,,
291,Grey dogwood,NA,NA,species,Cornus racemosa,501635,misspelling-Gray
292,Chinese chestnut,Castanea mollissima,501318,species,,,
293,European beech,Fagus sylvatica,502590,species,,,
294,Kousa dogwood,Cornus kousa,507498,species,,,
295,Prunus,Prunus,24762,species,,,
296,Northern catalpa,NA,NA,species,Catalpa speciosa,34315,other suggested Castanea pumila  seems to be associated with chinquapin USDA
297,Bottlebrush buckeye,Aesculus parviflora,28722,species,,,
298,Speckled japanese aralla,NA,NA,species,Fatsia japonica,505935,wrong/not often used common name | more often refused to speckled web or japanese aralia
299,Fig,NA,NA,species,Ficus,19081,R gave unknown common names 
300,Southern crab apple,Malus angustifolia,25255,species,,,
301,Cherry laurel,Prunus laurocerasus,24786,species,,,
302,Yew,Taxaceae,194881,species,,,
303,Bald cypress,Taxodium,18040,species,,,
304,Canyon grape,Vitis arizonica,28612,species,,,
305,Sweetbay,Magnolia virginiana,18070,species,,,
306,Turkey oak,Quercus laevis,19367,species,,,
307,Blackjack oak,Quercus marilandica,19374,species,,,
308,Ilex glabra,Ilex glabra,27981,species,,,
