,X.x,cleanedName,sciName,itis_id,rank,notes,X.y,LeafLength,maxLeafLength,meanLeafLength,minLeafLength,Source for LeafLength (mm),LeafArea,maxLeafArea,meanLeafArea,minLeafArea
29,29,White oak,Quercus alba,19290,species,,NA,NA,152.4,NA,127,https://plants.usda.gov/DocumentLibrary/factsheet/pdf/fs_qual.pdf,NA,NA,NA,NA
33,33,Viburnum trilobum,Viburnum opulus var. americanum,NA,species,not updated,NA,NA,NA,NA,NA,,NA,NA,NA,NA
34,34,Viburnum nudum,Viburnum nudum,35252,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
35,35,Cornus stolonifera,Cornus sericea ssp. Sericea,NA,species,not updated,NA,NA,NA,NA,NA,,NA,NA,NA,NA
36,36,Vibirnum dentatum,Viburnum dentatum,NA,species,mispelled,NA,NA,101.6,NA,38.1,https://plants.usda.gov/DocumentLibrary/factsheet/pdf/fs_vide.pdf,NA,NA,NA,NA
37,37,Vaccinium,Vaccinium,23571,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
38,38,Rhus glabra,Rhus glabra,28782,species,,NA,NA,500,NA,300,https://plants.usda.gov/DocumentLibrary/plantguide/pdf/cs_rhgl.pdf,NA,NA,NA,NA
41,41,Viburnum cassinoide,Viburnum cassinoides,NA,species,mispelled,NA,NA,NA,NA,NA,,NA,NA,NA,NA
43,43,Aesculus parviflora,Aesculus parviflora,28722,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
46,46,Ginkgo,Ginkgo,183264,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
47,47,Malus sargentii,Malus sieboldii,NA,species,not updated,NA,NA,NA,NA,NA,,NA,NA,NA,NA
48,48,Aesculus hippocastanum,Aesculus hippocastanum,28721,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
49,49,Sweetgum,Liquidambar,19026,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
50,50,White fir,Abies concolor,181826,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
51,51,Sourwood,Oxydendrum,23689,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
